----- result of 4: Sorted by Department > Project > Date -----
Data Science,PRJ100,2025-04-04,EMP0024,Vara prasad,8.77
Data Science,PRJ101,2025-04-01,EMP0010,Mourya,8.1
Data Science,PRJ106,2025-03-15,EMP0015,Ram sai,2.52
Data Science,PRJ106,2025-05-09,EMP0017,Rishi,5.82
Data Science,PRJ107,2025-05-29,EMP0005,Chaitanya,6.04
Data Science,PRJ108,2025-06-03,EMP0001,Abhinav,4.67
Data Science,PRJ114,2025-05-17,EMP0014,Ram,7.14
Data Science,PRJ117,2025-04-01,EMP0010,Mourya,4.38
Data Science,PRJ119,2025-05-18,EMP0023,Uday,1.9
Data Science,PRJ124,2025-05-10,EMP0020,Sameer,1.63
Data Science,PRJ129,2025-04-07,EMP0020,Sameer,6.4
Data Science,PRJ130,2025-03-08,EMP0008,Maneesh,8.49
Data Science,PRJ136,2025-05-19,EMP0017,Rishi,2.61
Data Science,PRJ137,2025-05-26,EMP0006,durga prasad,1.6
Data Science,PRJ140,2025-06-02,EMP0009,Manoj,3.68
Data Science,PRJ148,2025-05-16,EMP0007,Madhav,6.36
Data Science,PRJ149,2025-03-25,EMP0009,Manoj,1.15
Data Science,PRJ153,2025-04-11,EMP0016,Renaiah,3.88
Data Science,PRJ153,2025-05-02,EMP0018,Sai krishna,4.7
Data Science,PRJ164,2025-04-03,EMP0008,Maneesh,8.94
Data Science,PRJ167,2025-04-02,EMP0023,Uday,1.55
Data Science,PRJ168,2025-05-23,EMP0004,Bhanu prakash,8.54
Data Science,PRJ171,2025-05-12,EMP0001,Abhinav,8.08
Data Science,PRJ172,2025-04-23,EMP0010,Mourya,3.65
Data Science,PRJ174,2025-05-12,EMP0022,Surya,2.28
Data Science,PRJ177,2025-03-29,EMP0012,Niranjan,3.74
Data Science,PRJ179,2025-05-22,EMP0018,Sai krishna,9.67
Data Science,PRJ180,2025-05-03,EMP0006,durga prasad,5.63
Data Science,PRJ180,2025-06-03,EMP0002,Anand,2.12
Data Science,PRJ181,2025-03-17,EMP0020,Sameer,5.58
Data Science,PRJ182,2025-06-06,EMP0009,Manoj,9.8
Data Science,PRJ183,2025-03-28,EMP0021,Sri sai,7.74
Data Science,PRJ191,2025-04-10,EMP0005,Chaitanya,3.16
Data Science,PRJ192,2025-05-15,EMP0014,Ram,3.32
Data Science,PRJ193,2025-04-08,EMP0004,Bhanu prakash,1.06
Data Science,PRJ196,2025-03-30,EMP0010,Mourya,1.15
Data Science,PRJ197,2025-04-18,EMP0003,Bala sathvik,7.72
Design,PRJ105,2025-04-07,EMP0009,Manoj,7.69
Design,PRJ106,2025-05-08,EMP0011,Naga bhushan,9.82
Design,PRJ107,2025-05-03,EMP0023,Uday,1.23
Design,PRJ109,2025-03-30,EMP0015,Ram sai,1.91
Design,PRJ109,2025-05-06,EMP0006,durga prasad,1.05
Design,PRJ110,2025-05-26,EMP0010,Mourya,5.03
Design,PRJ114,2025-04-15,EMP0023,Uday,6.66
Design,PRJ115,2025-04-12,EMP0013,Rachith,3.94
Design,PRJ121,2025-03-25,EMP0001,Abhinav,4.55
Design,PRJ123,2025-03-17,EMP0021,Sri sai,3.47
Design,PRJ123,2025-04-10,EMP0002,Anand,4.15
Design,PRJ124,2025-05-26,EMP0014,Ram,3.06
Design,PRJ125,2025-04-01,EMP0004,Bhanu prakash,6.0
Design,PRJ130,2025-04-28,EMP0014,Ram,1.49
Design,PRJ133,2025-05-01,EMP0023,Uday,2.52
Design,PRJ135,2025-05-20,EMP0006,durga prasad,2.05
Design,PRJ137,2025-03-23,EMP0020,Sameer,8.45
Design,PRJ137,2025-04-20,EMP0012,Niranjan,5.11
Design,PRJ138,2025-03-31,EMP0022,Surya,3.9
Design,PRJ140,2025-03-23,EMP0022,Surya,8.73
Design,PRJ142,2025-04-23,EMP0017,Rishi,5.0
Design,PRJ142,2025-05-16,EMP0013,Rachith,1.59
Design,PRJ147,2025-03-08,EMP0008,Maneesh,2.95
Design,PRJ147,2025-06-03,EMP0016,Renaiah,3.19
Design,PRJ148,2025-03-10,EMP0024,Vara prasad,8.41
Design,PRJ150,2025-03-26,EMP0010,Mourya,8.77
Design,PRJ151,2025-03-15,EMP0016,Renaiah,3.4
Design,PRJ161,2025-04-10,EMP0013,Rachith,6.99
Design,PRJ162,2025-03-26,EMP0006,durga prasad,2.88
Design,PRJ162,2025-06-06,EMP0007,Madhav,8.79
Design,PRJ166,2025-05-31,EMP0013,Rachith,8.39
Design,PRJ167,2025-04-02,EMP0023,Uday,7.78
Design,PRJ167,2025-06-01,EMP0007,Madhav,7.14
Design,PRJ168,2025-03-28,EMP0009,Manoj,9.84
Design,PRJ175,2025-03-31,EMP0003,Bala sathvik,4.97
Design,PRJ176,2025-05-16,EMP0018,Sai krishna,1.18
Design,PRJ176,2025-05-24,EMP0004,Bhanu prakash,4.22
Design,PRJ183,2025-05-05,EMP0015,Ram sai,3.86
Design,PRJ190,2025-05-14,EMP0024,Vara prasad,8.44
